taxonid,fullname,currentAuthor,suggestedAuthor,source
1565,Amalda bullioides,"(L.A. Reeve, 1864)","(Reeve, 1864)",Catalogue of Life
1566,Amalda contusa,"(L.A. Reeve, 1864)","(Reeve, 1864)",Catalogue of Life
1567,Amalda jenneri,"R.N. Kilburn, 1977","Kilburn, 1977",Catalogue of Life
1568,Amalda lemaitrei,"R.N. Kilburn, 1993","Kilburn, 1977",Catalogue of Life
1569,Amalda mucronata,"(G.B. I Sowerby, 1830)","(G. B. Sowerby I, 1830)",Catalogue of Life
1570,Amalda novaezelandiae,"(G.B. II Sowerby, 1859)","(G. B. Sowerby II, 1859)",Catalogue of Life
1571,Amalda obesa,"(G.B. II Sowerby, 1859)","(G. B. Sowerby II, 1859)",Catalogue of Life
1572,Amalda obtusa,"(W.J. Swainson, 1825)","(Swainson, 1825)",Catalogue of Life
1573,Amalda optima,"(G.B. III Sowerby, 1897)","(G. B. Sowerby III, 1897)",Catalogue of Life
1574,Amalda reevei,"(E.A. Smith, 1904)","(E. A. Smith, 1904)",Catalogue of Life
1575,Amalda similis,"(G.B. II Sowerby, 1859)","(G. B. Sowerby II, 1859)",Catalogue of Life
1576,Amalda trachyzonus,"R.N. Kilburn, 1975","Kilburn, 1975",Catalogue of Life
1578,Amarilladesma mactroides,"(L.A. Reeve, 1854)","(Reeve, 1854)",Catalogue of Life
1581,Amblema peruviana,"J.B.P.A. Lamarck, 1819","(Lamarck, 1819)",Catalogue of Life
1583,Amblychilepas dubia,"(L.A. Reeve, 1849)","(Reeve, 1849)",Catalogue of Life
1584,Amblychilepas oblonga,"Menke, 1843","(Menke, 1843)",Catalogue of Life
1585,Amblychilepas platyactis,"J.H. McLean & R.N. Kilburn, 1986","McLean & Kilburn, 1986",Catalogue of Life
1589,Amoria caroli,"T. Iredale, 1924",Ired.,MCZbase
1590,Amoria grayi,"N.H. Ludbrook, 1953","Ludbrook, 1953",Catalogue of Life
1591,Amoria keatsiana,"N.H. Ludbrook, 1953","Amoria (Amoria) keatsiana Ludbrook, 1953",WoRMS
